計畫名稱,關鍵字 號碼,關鍵字,綱要名稱,綱要名稱(關鍵字),中文摘要,中文摘要(關鍵字)
氣候變遷下輸入與走私禽鳥及其產品之家禽流行性感冒及西尼羅熱監測,"[320, 557, 576, 831, 1102]","西尼羅熱, 家禽流行性感冒, 氣候變遷, 進口禽肉, 輸入禽鳥",重大人畜共通傳染病,重大人畜共通傳染病,氣候變遷造成了候鳥遷徙模式及病毒於環境中潛存範圍的改變，而氣候變遷對於諸多重要人畜共通傳染病疫情傳播之影響，仍待釐清，為避免高病原性家禽流行性感冒及西尼羅熱在氣候變遷條件下，造成新興疾病入侵台灣，本計畫擬對輸入及走私禽鳥類進行家禽流行性感冒之檢測，經由病理學檢查、微生物分離及分子生物學檢查建立疾病資料，並同時進行持續之監測工作及病毒病原性及相關生物特性試驗，以提供做為國內監控策略參考。美國的低病原性禽流感病毒，其HA裂解序列的鹼性胺基酸已由1-2個增加至3個，有轉為強毒的可能，美國各州政府對其他州進入的家禽及其產品都有一定的限制，如喬治亞州禁止低病原性禽流感家禽進入該州，進入者須提供非感染場証明，在美國國內不同州都有如此限制，我國進口美國各州的產品更應加以檢驗。國內防疫及對高、低病原性禽流感監測一直在進行，基於平等互惠原則及避免引進禽流感的風險，應對各國進口的產品進行檢驗，包括美國、加拿大、匈牙利及巴拿馬等國，防範禽流感等疾病發生於未然。由基隆及高雄港口採樣，以AIV NP引子之RT-PCR檢測由國外進口的禽肉，陽性者再以H5，H7引子檢測。所有樣本皆進行病毒分離，陽性者進行病原性測定。確保進口雞肉產品不帶有禽流感病毒，有效預防本病在台灣發生。期防止AIV入侵我國。西尼羅熱為重要之人畜共通傳染病，為防範此新興疾病之入侵，本計畫同時對於輸入鳥類進行帶毒的監測，可提供相關之研究成果供防疫檢疫主管機關參考，並及時診斷以防堵疾病蔓延。,"禽流感, 病原, 病毒, 疾病, 引子, 防疫, 家禽"
氣候變遷對毛豬災後人畜共通疾病影響及對社會經濟損失之研究,"[86, 576, 882]","人畜共通疾病, 氣候變遷, 經濟損失",重大人畜共通傳染病,重大人畜共通傳染病,本計畫擬探討莫拉克風災後，毛豬產業重災區(台南縣、屏東縣)於復養過程中所面臨的困難點及飼養者需要之奧援，例如人畜共通疾病、災後疾病或感染控制、繁殖障礙等發生與否以及發生的狀況；同時分析其經濟損失，並提出建議以供政府防疫決策之參酌。??? 建立經濟損失分析之效益如下：(一)瞭解災後毛豬疫病與症候群之情形及其導致生產者經濟損失之完整訊息，補充現有資訊著重物理性傷亡損失之不足。(二)對於受災情影響之動物，提出淘汰或續養的財務分析，可作為生產者決策參考與政府補償政策擬定依據。(三)依據對疫病與症候群的資訊，與流行病學專家會商，提出對未來萬一發生災情時，進一步著手進行流行病學調查之規畫建議。(四)從流行病學觀點，檢討災情處理措施，除了提供相關單位制定毛豬生產者因應氣候變遷防疫措施之參考，並期望達成不僅在每次異常災難發生時，設法降低毛豬生產者損失，最重要的是希望長期損失可以下降。,"症候群, 防疫, 疫病, 分析, 措施, 重物, 效益, 理性"
因應氣候變遷建立獸醫教育資源共享,"[209, 681, 1196]","外科, 專科訓練, 繼續教育",重大人畜共通傳染病,重大人畜共通傳染病,台灣獸醫臨床師資、支援體系及軟硬體均遠遜歐美地區，國內各校間的教學資源也有巨大的差異，為因應氣候變遷所帶來之全球及地方性動物醫療服務衝擊，需要更有效率、整合所有教學資源的臨床教學系統。台灣推動專科獸醫師及住院醫師訓練制度，將對整個教育體系造成巨大的效益。專科制度可以帶來國內專業結構性的優化，以及相關教育與研究水準的提升；臺灣獸醫外科專科醫學會，便在這樣的構想下，由國內四個獸醫學校的外科領域教師共同創立。以專科醫學會為平台，藉由住院醫師制度之建立，繼續推動國內四校大學部外科相關領域教育水準的提升，改善臨床課程之品質，進而優化各校獸醫學畢業學生之臨床能力與素養。此平台並將整合國內外專科臨床教學師資及教材，推廣制度化的全台獸醫外科繼續教育體制。,"臨床, 外科, 教育, 平台, 全台, 制度, 有效率"
因應氣候變遷強化草食動物醫療訓?計畫,"[623, 628, 1187]","草食動物, 訓練計畫, 獸醫師",重大人畜共通傳染病,重大人畜共通傳染病,近??由於伴侶動物醫?事業的發展，加上牧場工作的繁重與收入短少，使得鮮少?青獸醫師或獸醫學子願投身反芻動物牧場之醫?服務工作，導致反芻動物牧場專任（特約）獸醫師日漸短缺，造成現場從事醫療的人員出現嚴重的斷層現象，對於乳房炎、繁殖障礙以及蹄病等常好發的現場疾病無法有效改善，造成相當嚴重的經濟損失。因此有必要建立積極且完善的反芻動物住院醫師訓練計畫，訓練年輕獸醫師，開創獸醫學子未來投身反芻動物牧場的環境與管道，進而提昇現場專業醫?與服務品質，增加牧場經營經濟效益。,"投身, 子願, 蹄病, 工作, 乳房, 管道, 疾病"
氣候變遷對太平洋及大西洋主要鮪類資源及漁場變動之影響－南太平洋長鰭鮪之研究暨大西洋主要鮪類之彙整分析,"[133, 464, 576, 1154]","太平洋, 長鰭鮪, 氣候變遷, 鮪漁場學",漁業,漁業,本研究擬以南太平洋水域之長鰭鮪為對象，分析海洋環境變動對其漁況與資源量變動的影響，並建構鮪類生態與環境結合的分析模式，以評估氣候與海洋環境變異可能帶來的衝擊。擬完成之工作項目包括：(1)南太平洋氣候及漁場環境的變異特性；(2)南太平洋長鰭鮪漁獲量變動與海洋環境變異的關係；(3)海洋環境變異對南太平洋長鰭鮪漁況與資源量之影響。,"漁況, 分析, 水域, 特性, 模式, 研究, 工作"
氣候變遷對印度洋鮪旗類漁海況暨資源影響研究-印度洋主要鮪類資源及漁場分佈與中長期海洋環境變動關係之影響,"[273, 464, 842, 1154]","印度洋, 長鰭鮪, 黃鰭鮪, 鮪漁場學",漁業,漁業,研究印度洋鮪類漁場與海洋環境之長期變遷與變異特性，以及主要鮪類資源與漁況變動如何受到海洋環境變異的影響，並探索目前與未來之氣候因素造成的可能衝擊，以評估海洋環境變異可能帶來的衝擊(1) 衛星遙測等海洋環境資料解析印度洋海洋環境的變異特性(2) 印度洋主要經濟鮪類漁獲量變動與海洋環境變異的關係 (3) 分析印度洋鮪類漁場受到環境變動中期與長期之變動特性(4) 評估未來氣候變遷情境對鮪類所照成的可能衝擊,"特性, 漁況, 情境, 解析, 因素, 分析, 研究"
澎湖海域海草(床)生態調查及與漁業資源保育相關性研究,"[271, 576, 586, 588]","共棲生物相, 氣候變遷, 海洋酸化, 海草",漁業,漁業,海草床是世界上許多海岸及河口區域扮演著重要的角色，也是許多重要生態系的連結者，同時海草床也是許多魚蝦貝介類的哺育場，甚至是其他生物直接的食物。此外，海草也會吸收固定二氧化碳能力與減緩全球暖化，不過目前也面臨著環境以及人為因素的威脅。藉著本計畫的執行，首先針對澎湖地區的海藻種類及分佈地點作一完整調查，以及海草床當中共棲、共生的其他生物相調查，同時進行以澎湖依附海草生態系的漁業行為調查，最後選定特定範圍的試驗區，進行海草床復育試驗以及依附漁業資源的回復監測。本年度將針對(1) 海草族群種類鑑定及分布區域調查以及(2) 海草床共棲生物相調查 。,"海草, 著本, 生物, 族群, 哺育, 海藻, 共生"
飼料稻米專案試辦計畫,"[564, 576, 956]","栽培技術, 氣候變遷, 飼料稻米",農業生物技術產業化發展,"農業, 技術, 產業化, 發展, 生物",選擇國內不推廣且容易與現行推廣品種區隔之高產舊品種台中秈17號，當作育成飼料稻米專用品種的模板及試辦品種。利用回交逐步改良台中秈17號成為國內飼料專用水稻品種時，能夠經由在未來生產區試種的辦理，先行了解台中秈17號的栽培表現，及作為飼料的用途及特性等資料。在未來進行飼料稻米大面積推廣時，這些收集數據可以作為評估經濟效益的依據，成為政府擴大推廣及建置飼料新產業的重要參考，成為未來提昇糧食自給率及休耕地活化的施政作為選項之一。,"模板, 活化, 先行, 栽培, 用途, 特性, 利用"
因應全球氣候變遷對糧食安全威脅之國際農業科技合作計畫,"[234, 576, 862]","生物能源, 氣候變遷, 溫室氣體",國際農業合作,"國際, 農業, 合作","全球長期糧食安全和環境可持續生產糧食，有很大程度依賴於土地、水和養分資源的有效性和利用效率，以及族群間公平分配這些資源（Bruinsma, 2003; Sachs, 2008）。由於預期全球人口將會增加和人類飲食的改變，在未來幾十年，全球糧食需求預計將增加50%。此外，還有生物能源生產的需求增加。同時，因為目前生產系統，已導致在許多方面的問題，如生物多樣性損失、溫室氣體（GHG）的排放和氣候變化、土壤侵蝕和污染超過臨界值等；因此食品和生物能源生產的環境衝擊必須下降（Galloway et al., 2008; Steinfeld et al., 2006; 2010）。顯然地，要滿足這些要求是一個很大的挑戰。＜? ???目前全球大約一半的糧食生產依賴於外部肥料的投入，尤其是氮（N）和磷（P）。預測表明，在不久的將來，化肥對於依賴糧食生產，將會進一步增加。而氮肥是高度耗能，且是溫室氣體排放的巨大來源（Smil, 2001），磷肥則將因磷礦儲備的減少，而面臨缺乏（在未來 50-100年）。此外，預測表明，化石能源資源將在未來 50到100年被耗盡。因此，化肥價格將趨於增加，這可能提供誘因，增加動物糞便、作物殘體和廢物（包括城市廢物）中營養鹽的回收利用，以及減少營養鹽的損失。不過，目前對於如何有效率地從動物糞便和廢物中回收利用其營養鹽，以及如何減少養分流失和溫室氣體排放的經濟效益方法，還只有局部理解。","全球, 化肥"
因應氣候變遷對水稻病蟲害預警制度及安全管理技術之建立,"[178, 289, 576, 947]","水稻病蟲害, 安全管理技術, 氣候變遷, 預警制度",國際農業合作,"國際, 農業, 合作",至IRRI研習先進性之水稻病蟲害預測關鍵技術，建構氣候變遷與病蟲害相關資料之彙整及分析資訊網，提供相關研究人員交流及彼此討論之平台，提升我國農業領域因應氣候變遷之能力，研擬出因應現況之害物綜合管理策略，建立疫情的預警制度，及時有效因應防治而降低作物重大疫情發生的機率，將更可加速改善許多病蟲防治的安全問題。＜?,"疫情, 害物, 管理策略, 作物, 交流, 平台, 能力, 分析, 研究"
因應氣候變遷重要人畜共通傳染病—狂犬病、禽流感及傳播性海綿狀腦病等病原環境監控與疾病控制模式之研習,"[86, 576, 739, 745]","人畜共通疾病, 氣候變遷, 野生動物保育醫學, 鹿慢性消耗病",國際農業合作,"國際, 農業, 合作",隨人類過度開發與糧食需求增加，近年來全球暖化日益嚴重，導致極端氣候現象頻仍，人類、家畜與野生動物三者間關係更趨緊密複雜，已知亨德拉病、立百病及西尼羅病毒感染症等人畜共通疾病病原，經由野生動物傳至人類成為公共衛生議題，如何結合野生動物保育與防疫知識，減少人畜共通疾病衝擊，是現階段的重要課題。近來開放牛海綿狀腦病發生國家之牛肉產品進口在日、韓、澳及我國造成民眾疑慮，突顯牛海綿狀腦病在防疫及公共衛生之重要，除了牛肉產品食用安全外，鹿慢性消耗病的發生不僅威脅野生及圈養鹿隻健康，亦影響牧場觀光甚至引起食品安全疑慮，美國、加拿大等國在前述疾病研究卓越，為因應氣候變遷衍生野生動物人畜共通疾病疫情擴散，本計畫擬派員赴美、加研習野生動物保育醫學及野生動物狂犬病、禽流感與鹿慢性消耗病等病原監測與防治技術，供作建立野生動物重要病原之環境監控技術與研擬疾病控制模式參考。此外擬透過國外專家來台指導與辦理研討會引前述防治知識，培育診斷相關人才，並建立雙邊研究合作，提昇我國獸醫服務體系與促進國內畜產品安全。,"病原, 防疫, 牛肉, 疾病, 供作, 禽流感, 百病, 狂犬病, 病毒感染"
發展茶業決策支援管理系統,"[153, 275, 361, 579, 617, 619, 756, 1181]","水分管理, 合理化施肥, 決策支援系統, 氣象災害, 茶, 茶葉選購, 復耕, 雜草防治",E化,E化,目前茶產業發展主要問題為經濟不景氣、進口茶競爭及氣候變遷影響生產，因此發展茶園安全用藥與合理化施肥決策支援管理系統、茶園氣象災害因應系統及茶葉產品行銷資訊系統(包括茶葉選購、產地証明標章、泡茶與休閒等)，將有利生產優質茶葉，降低生產成本，提升產業競爭力，並能維護生態環境，維護消費者健康，促進茶葉消費。本計畫為第二年計畫，重點在於發展合理化施肥決策支援系統並推廣茶園安全用藥決策支援系統。,"泡茶, 成本"
建構因應氣候變遷之台灣糧食生產評估系統,"[342, 530, 576, 1158]","作物模式, 降尺度, 氣候變遷, 糧食安全",E化,E化,糧食安全是台灣農業政策的核心議題，不僅因國內生產成本高於國際市場價格而仰賴國外進口，同時氣候變遷破壞現有作物生產系統，因增加氣象災害而使產量下降。因此，本計劃目的將強調在三個方面，1. 評估不同氣候情境下之作物生產潛力。2. 繪製農業生產區之農業氣象災害發生機率潛試圖。3. 利用作物-氣候模式以建立調適評估系統: 整合作物及區域氣候模式以勾勒未來農業耕作問題及提供調適策略。,"作物, 模式, 情境, 耕作, 核心, 目的, 利用"
臺灣周邊海域因氣候變遷流系消長對重要經濟性魚種漁業資源變動影響之研究,"[576, 587, 965]","氣候變遷, 海流, 漁業資料庫",漁業,漁業,氣候變遷對海洋環境與漁業之衝擊，雖然已有廣泛之討論，但尚無明確之模式可加預測，不過肯定與地球溫暖化有關。全球氣候改變之規模與速度，雖然尚有一些不確定因素，但其改變對漁業之影響已受到相當大之關注，其原因不僅由於人類生產、生活及生態環境保護所必需的，且因為魚是冷血動物，生命週期短，又棲息之水體又是彙集環境改變結果之處所，故氣候變遷改變對魚類之影響，也可提供人類社會因應或遏止環境變遷決策之重要參考。而氣候變遷所引起之風應力之變化，也導致臺灣週邊水域流系之消長，及湧昇、潮境之減弱或轉移位置，也可能對沿近海漁業之魚種、漁期造成改變。緣此本年度計畫針對澎湖海域之中國槍鎖管開始進行考察。透過該漁業之漁船活動、氣象因子、聲光遙測等資料之彙整，利用時序列法及多變量統計分析法，評估中國槍鎖管之資源量與氣候及海洋環境變遷之相關性。,"流系, 潮境, 槍鎖, 列法, 槍鎖管, 分析法, 因子, 水域, 海域"
臺灣周邊海域基礎生產力監測及湧昇流漁業資源調查,"[166, 576, 679, 800, 937, 966, 1119]","水溫, 氣候變遷, 基礎生產力, 湧昇流, 過漁指數, 漁獲平衡指數, 營養位階",環境及資源,"環境, 資源",針對台灣周邊海域於不同季節進行船側調查，了解基礎生產力等水文資料之變動與季節變化及計算台灣週邊海域碳的生產量與臺灣週邊海洋環境特性的關係進行分析。了解沿近海域總漁獲量與基礎生產力之過漁參數與過漁指數變動趨勢。?匯整相關調查之水文資料了解台灣周邊海域地形性湧昇流之情況判斷湧升流的消長程度以利了解湧昇流漁場的變動。?利用湧昇流漁場的漁獲資料與基礎生產力及總固碳量關係進行比對以了解湧昇流漁場漁業漁獲量之過漁指數變化趨勢。?比對氣候變遷（聖嬰、反聖嬰及平常年）對湧昇流漁場的變化影響與季節變動狀況。,"海域, 水文, 匯整, 總固碳量, 特性, 地形"
評估氣候變遷對農業用水影響?以曾文水庫為例,"[401, 576, 762]","供水, 氣候變遷, 曾文水庫",環境及資源,"環境, 資源",本計畫以降雨豐枯期嚴重不均勻的曾文水庫為研究對象，蒐集水庫集水區歷年雨量記錄及相關資料，並建構水庫供水系統模擬歷年用水情況。因集水區流量豐枯懸殊，需藉由水庫調節水量才得以穩定供水。除進行水庫現況模擬，本計畫更嘗試討論氣候變遷對於供水情況的衝擊，預期成果如下：(1) 瞭解基期與情境下曾文水庫地區供水情況(2) 評估氣候變遷對於曾文水庫地區供水之衝擊(3) 提供未來水資源管理及調配相關之參考資訊,"供水, 蒐集, 基期, 情境, 降雨, 雨量, 用水, 水量, 流量, 成果"
氣候變遷對作物需水量與灌溉用水量之衝擊評估,"[341, 576, 1211]","作物需水量, 氣候變遷, 灌溉需水量",環境及資源,"環境, 資源",本研究將針對臺灣地區之特定灌溉區域進行研究，探討氣候變遷對作物需水量與灌溉用水量之影響。首先蒐集研究區域歷史氣象記錄、地文特性與灌溉設施等基本資料，配合研究區域之田間水平衡收支模式，進行研究區域作物與灌溉需水量估算模式之建立與驗證。待估算模式建立完成，便可利用氣候變遷模式所輸出之未來氣象資料，進行研究區域未來作物與灌溉需水量之估算，以提供相關單位未雨綢繆擬定適應之灌溉用水對策。,"研究, 模式, 灌溉, 作物, 蒐集, 地文, 收支"
氣候變遷對嘉南灌區灌溉水源枯水期旬流量之影響評估,"[352, 576, 1205]","序率模擬, 氣候變遷, 灌溉水源",環境及資源,"環境, 資源",發展能考慮多測站旬流量時空相關特性之序率模擬技術，分析在特定氣候變遷情境下，嘉南灌區灌溉水源枯水期之旬流量，並量化評估氣候變遷對枯水期旬流量之影響與其不確定性。,"流量, 情境, 特性, 分析"
因應氣候變遷地下水補充灌溉用水管理策略研究,"[157, 280, 576]","水田, 地下水, 氣候變遷",環境及資源,"環境, 資源",由於氣候變遷所造成的乾旱問題正影響全球的水資源，也直接或間接的影響農田的灌溉。而台灣過去在乾旱時期都曾藉由抽取地下水補充地面水的不足，而嚴重的乾旱現象則必須休耕一些耕地面積，以確保其他耕地能有足夠的灌溉用水。在抽取地下水補充灌溉用水的實際問題上，每一口抽水井的抽取時間及水量也會影響到其他水井的抽取量，當然也會造成地下水水位下降。為了防範因應乾旱而造成地下水超抽的問題，地下水模式的應用則為常用的方法，但模式所需的各項條件(地下水參數、起始調件、邊界條件)的不確定性都影響模擬的結果，本研究從過去的研究成果中發現，發現應用ANFIS的預測模式及嘉南地區過去的地下水觀測資料與乾旱的紀錄，所產生的單井模式，經過驗證後可以獲得合理的結果，亦可作為評估未來因應氣候變遷狀況下，作為評估地下水補充灌溉用水管理策略研擬的依據。本研究的預期成果可提供農政單位未來可能的氣候情境，及在未來的氣候情境地下水補充灌溉用水的情形下，所可能的地下水位變化情形，作為管理地下水的策略調整依據。,"地下水, 模式, 情境, 水井"
台灣南部地區臭氧於氣候變遷下之變化潛勢,"[576, 613, 1191]","氣候變遷, 臭氧, 類神經網路",環境及資源,"環境, 資源",氣候變遷的相關議題在近年來已成為眾所矚目的焦點，經由前人的研究發現，與動植物生存及成長息息相關的空氣品質問題，亦會受到氣候變遷的影響而有所變化。評估空氣品質的指標有許多種，臭氧濃度是其中一個重點評估項目，其對人體健康及作物的成長均有影響。於臺灣地區的空氣監測結果中，亦可發現臭氧是臺灣目前主要的空氣污染物之一，尤其在人口越密集的地區，臭氧濃度有越高的趨勢。本計畫擬收集氣象因子與臭氧濃度資料，分析氣象因子與臭氧濃度的關係，並選擇合適的類神經網路，利用類神經網路能處理高度非線性問題、架構簡單且迅速的優勢，連結氣象因子與臭氧濃度之間的複雜關係，藉此探討在大環境的氣候變遷影響下，臭氧濃度未來的變化潛勢。此成果將可作為未來空氣品質的重要參考，期望能有助於相關單位制定政策或方向，以減少空氣污染對人民健康及農作物成長可能造成的負面影響。,"因子, 臭氧, 污染物, 前人, 作物"
因應氣候變遷智慧型農業水資源調配策略,"[172, 761, 916]","水資源調配, 智慧理論, 農業用水",環境及資源,"環境, 資源",臺灣地區對水的需求逐年增加，復加氣候變遷導致降雨時機與強度跟以往有明顯差異，近年用水量時常有不足的情況發生。近年北臺灣頻繁面臨缺水問題，多以停灌休耕方式解決用水不足的窘境，因此，為確保水資源永續利用機能，並維持農業永續經營與發展目標，將深入探討氣候變遷情況下桃園地區農業灌溉配水因應策略，探討地區水資源與水庫庫容對於缺水情況之相互影響關係，此外，採用智慧型理論研擬農業用水調用比例操作策略，同時考量決策者之喜好進行風險評估，另針對現有缺水等級及門檻分析其適用性，依現行分級方式進一步採用模糊理論等作更適配之指標建置，綜合探討桃園地區一期作缺水時期配水機制，期能建置一乾旱時期智慧型水庫決策支援系統，降低調用農業用水所帶來的風險與損失。,"缺水, 期能, 用水量, 窘境, 方式, 降雨, 考量, 用水, 灌溉"
因應氣候變遷水田最適灌溉用水調配之研究,"[157, 874, 1207]","水田, 節水灌溉, 灌溉用水量",環境及資源,"環境, 資源",本研究以缺水最為嚴重之嘉南地區為研究區域，在嘉南農田水利會學甲灌溉技術推廣中心，以大面積田間試驗探討101年一期作水稻種植日期由1月16日調整至2月16日，並於抽穗期實施7天輪灌期距之節水灌溉處理時，評析其對水稻灌溉用水量與生育產量之影響，進而解析在不影響水稻產量之前提下，水稻於缺水期之最適灌溉時期及最適灌溉水量與節水成效，期能更機動且有效調配灌溉用水，以因應氣候變遷所形成之嚴重缺水問題。,"水稻, 缺水, 灌溉, 會學, 期距, 期能, 研究, 解析, 生育"
因應氣候變遷稻作田間灌溉管理之研究,"[174, 254, 576]","水稻, 田間灌溉管理, 氣候變遷",環境及資源,"環境, 資源",本研究擬透過稻作田間灌溉管理之檢討，考量國內外不同之水稻灌溉方法管理，由土壤含水量的觀點，發展適合於台灣氣候變遷條件的稻作用水管理方式，藉此修正農田水利會田間配水模式，並提出如何因應氣候變遷進行適當的配水管裡。,"稻作, 含水量, 水管, 管理, 考量, 灌溉, 水稻, 土壤, 模式"
氣候變遷之水旱田不同灌溉方式作物需水量與節水策略研究,"[341, 576, 873]","作物需水量, 氣候變遷, 節水",環境及資源,"環境, 資源",全球暖化及氣候變遷影響降雨及溫度型態，改變作物灌溉需水量及農業水資源之推估。台灣南部面臨88 水災後水庫蓄水量不足，一期作水稻休耕之窘境。運用灌溉技術及方法於農業灌溉以有效率使用有限水資源為國際間重要議題及挑戰。本研究步驟包括如下：(1) 國內外氣候變遷與作物灌溉需水量文獻收集，(2) 國內農業氣象及灌溉管理基本資料收集與建立，(3) 作物生產模式應用分析氣候變遷對作物灌溉需水量與產量影響及節水策略評估。,"灌溉, 作物, 窘境, 有效率, 蓄水量, 降雨, 水稻"
韌性理論應用於氣候變遷對灌溉系統之影響評估,"[576, 838, 1208]","氣候變遷, 韌性理論, 灌溉系統",環境及資源,"環境, 資源",由於氣候變遷所造成之溫度上升及降雨減少，進而造成了不穩定且無法預測之季節性降雨、洪水、乾旱及颱風。而不穩定且減少之降雨，對於農業作物產量亦會帶來相應之影響。然而由於農業受到短時間缺水影響下並不一定會導致作物減產，需視缺水延時之長短及缺水量之多寡來考量，若於短暫缺水情形發生時，作物仍可暫時容忍缺水直至下次灌溉，藉此順利度過缺水時期，但若短時間大量缺水或長時間之少量缺水，對農業可能造成重大之影響，因此本研究擬應用韌性理論分析氣候變遷對農業灌溉系統所造成之影響，透過歷史資料及相關文獻，訂定工業、民生及農業之回復力門檻值，再配合韌性理論及回復力門檻值設定，分析頭前溪流域歷史之回復力，進一步分析討論未來氣候變遷對農業灌溉系統之回復力之影響評估。,"缺水, 降雨, 分析, 作物, 缺水量"
因應氣候變遷之平坦灌區蓄水防災能力分析,"[731, 939, 996]","術值高程模式, 零慣性波, 窪陷填平",環境及資源,"環境, 資源",本研究之目的即在考慮極端降雨情況下，當發生超過工程保護標準之洪水事件時，如何在洪峰時期將洪水引入平坦灌區，藉由灌區之蓄水能力，以降低都市淹水深度。研究中將採用NETSTARS模式進行一維變量流河道水理演算，並應用零慣性波理論建立二維淹水模式，模擬颱洪時期農業集水區之淹水情況，藉以推求平坦灌區在不同尺度洪水事件情況下之蓄水能力。本研究將以台灣地區之灌區為研究集水區，藉由數值高程資料、土地利用資料，以及灌區排水系統資料，建立可確實反應灌區地文特性之二維淹水模擬模式。,"模式, 蓄水, 研究, 水理, 地文, 事件, 能力, 高程"
因應氣候變遷農業灌溉用水調度水價分析,"[576, 916, 1066]","氣候變遷, 農業用水, 調度水價",環境及資源,"環境, 資源",(1)?蒐集跨區域與跨時點、及不同產業移用水價量資訊。(2)?蒐集跨區域與跨時點、及不同產業移用水發生之氣候資訊。(3)?結合氣候與產業因子建構跨區域與跨時點、及不同產業移用水價格函數。,"蒐集, 用水, 移用, 因子"
建立飼料玉米種子籌供體系,"[217, 576, 983, 989, 1178, 1193]","玉米, 氣候變遷, 種子倉儲, 種子調製, 雜交玉米, 籌供體系",農糧,農糧,計畫於台中市新社區及屏東縣麟洛鄉兩地，以台農1號及台南24號玉米兩品種，以不同去雄方式對玉米採種之影響，用採種田春、秋兩季之栽植方式，探討其對玉米穗結實及產量之影響，以作未來量產模式之參考。尋找參試品種新採種栽培及調整採種適期以適應氣候變遷，建立量產模式，穩定生產種子，以配合政府政策，生產所需種子。搜集國際商用飼料玉米品種，評估各品種於台灣之適應性，建立適宜台灣種植之國際飼料玉米品種資料庫，期能提供農民多樣選擇並穩定飼料玉米種子供應。調查雜交玉米F1種穗及種子於乾燥過程中水分含量變化與大氣環境和耗油量之關係對調製作業之影響，掌握調製作業時程，建立雜交玉米種穗在不同乾燥環境之調製作業模式，因應環境氣候變化，適時調整乾燥作業模式，提高調製作業效率，達到節省能源目標。,"模式, 期能, 耗油量, 方式, 商用, 栽培, 效率"
水稻有害生物相及氣候變遷相關資料調查,"[175, 576, 1049]","水稻有害生物相, 氣候變遷, 稻熱病",防疫檢疫,"檢疫, 防疫",研究水稻病蟲害相的改變，瞭解其發展趨勢，預先防範因應，研擬出因應現況之害物綜合管理策略，建立疫情的預警制度，及時有效因應防治而降低作物重大疫情發生的機率，以維持氣候變遷下農作物生產的品質與安全。以稻熱病為主，調查水稻病蟲害種類與發生生態，累積長期的病原菌等消長資料，探討氣候變遷所對水稻有害生物相及棲群動態的改變。＜?,"疫情, 害物, 管理策略, 病原菌, 作物, 研究"
臺南區洋香瓜病毒病整合性防治技術研究,"[576, 599, 750]","氣候變遷, 病毒病, 媒介昆蟲",防疫檢疫,"檢疫, 防疫",在臺灣洋香瓜病毒病為瓜類栽培主要限制因子之ㄧ，本計畫為調查臺南場轄區洋香瓜病蟲害發生消長與氣象因子之相關性。檢測洋香瓜種子攜帶瓜類退綠黃化病毒比率。,"洋香瓜, 因子, 比率, 病毒, 栽培"
氣候變遷對病媒蚊的影響及因應對策之研究,"[184, 559, 576, 844, 970, 1080]","牛流行熱, 庫蠓, 氣候變遷, 嗜牛庫蠓, 監測, 養牛場",重大人畜共通傳染病之防檢疫策略研究及推廣,"重大人畜共通傳染病, 之防, 檢疫, 推廣, 策略",牛流行熱由病媒庫蠓所傳播，為近年台灣地區危害牛隻的主要傳染病之一；而溫室效應加劇導致氣候暖化，可能造成病媒庫蠓的大量孳生，並增高牛流行熱傳染病發生流行的風險。本計畫擬在雲林、嘉義、台南、高雄、屏東等縣市，針對牛流行熱之病媒庫蠓進行長期的棲群動態監測，觀察田間庫蠓棲群是否受氣候變遷影響，改變發生模式。此外，同步在上述樣點進行庫蠓攜帶病毒監測，探討田間庫蠓傳播牛流行熱情形。計畫完成將依三年所監測的庫蠓棲群動態、田間帶病毒率、病例發生、以及氣象因子等結果，綜合研析台灣地區牛流行熱發生模式，並評估預警系統建構之可行性、以及畜場病媒防治建議。,"病媒, 模式, 棲群, 樣點, 研析, 畜場, 可行性, 因子, 病例, 病毒, 危害"
因應氣候變遷之重大人畜共通傳染病防檢疫策略與技術推廣,"[355, 391, 527, 576, 819, 1114]","技術推廣, 防疫, 重大人畜共通傳染病, 氣候變遷, 策略, 檢疫",重大人畜共通傳染病,重大人畜共通傳染病,本年度將辦理「2012氣候變遷與重大人畜共通傳染病之防檢疫策略規劃」、「受體素、中獸藥和動物用疫苗之檢驗管理技術強化重大人畜共通傳染病防疫機制」、「加強重大人畜共通傳染病臨床診治能力之獸醫師再教育訓練2012年臨床小動物國際學術研討會暨狂犬病預防注射推廣宣導會及WSAVA CE 」和「野生動物急救醫療研習與工作坊課程」等研討會，並分別編印講義。另完成「2012強化我國獸醫教育體系－推動我國六年制獸醫教育」和建構「野生動物醫療資訊網站」俾利查閱相關資料和實施線上教學。本計畫提供相關資訊將有助於政府對重大人畜共通傳染病和野生動物疾病的認知，強化預防和監控的重要性，作為防疫決策之參酌。,"防疫, 教育, 六年制, 工作坊, 臨床, 狂犬病, 重要性, 疫苗, 疾病"
